I%M/ˆ`<†-q.iié\md¸a§=¬LŒÁKXþtemp,light,hum
23.20,16.67,66.00
23.20,10.00,66.00
22.80,10.00,63.90
22.80,13.33,63.90
22.80,13.33,63.90
22.80,10.00,63.90
22.80,13.33,63.90
22.80,13.33,63.90
22.80,13.33,63.90
22.80,13.33,63.90
23.10,13.33,66.60
23.10,13.33,66.60
23.10,13.33,66.60
23.10,13.33,66.60
23.10,10.00,66.60
23.10,16.67,66.60
23.10,16.67,66.60
23.10,13.33,66.60
23.10,13.33,66.60
23.20,13.33,65.80
23.20,10.00,65.80
23.20,10.00,65.80
23.20,13.33,65.80
23.20,13.33,65.80
23.20,13.33,65.80
23.20,16.67,65.80
23.20,13.33,65.80
23.30,16.67,62.60
23.30,16.67,62.60
23.30,10.00,62.60
23.30,13.33,62.60
23.30,10.00,62.60
23.30,16.67,62.60
23.30,13.33,62.60
23.30,10.00,62.60
23.30,10.00,62.60
23.10,13.33,64.90
23.10,10.00,64.90
23.10,13.33,64.90
23.10,10.00,64.90
23.10,10.00,64.90
23.10,10.00,64.90
23.10,13.33,64.90
23.10,13.33,64.90
23.10,10.00,64.90
22.90,13.33,62.80
22.90,10.00,62.80
22.90,13.33,62.80
22.90,10.00,62.80
22.90,13.33,62.80
22.90,10.00,62.80
22.90,16.67,62.80
22.90,13.33,62.80
22.70,10.00,64.80
22.70,10.00,64.80
22.70,13.33,64.80
22.70,16.67,64.80
22.70,13.33,64.80
22.70,13.33,64.80
22.70,10.00,64.80
22.70,10.00,64.80
22.70,10.00,64.80
23.00,13.33,64.70
23.00,13.33,64.70
23.00,10.00,64.70
23.00,13.33,64.70
23.00,10.00,64.70
23.00,10.00,64.70
23.00,13.33,64.70
23.00,13.33,64.70
23.20,10.00,64.90
23.20,10.00,64.90
23.20,10.00,64.90
23.20,13.33,64.90
23.20,16.67,64.90
23.20,13.33,64.90
23.20,10.00,64.90
23.20,10.00,64.90
23.20,13.33,64.90
23.00,13.33,65.20
23.00,10.00,65.20
23.00,13.33,65.20
23.00,16.67,65.20
23.00,16.67,65.20
23.00,10.00,65.20
23.00,10.00,65.20
